FECHA,DEPARTAMENTO_ID,ZONA,MICROZONA,SEGMENTO,MIGRACION,VIP,BRONZE,GPON,PARAM_AM,DISP_AM,PARAM_PM,DISP_PM,PARAM_HF,DISP_HF,TOTAL_DISP
2016-10-25,ANTIOQUIA,NORTE,BARCOPGIR,Corporativos,0,0,1,0,,0,1,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,BARCOPGIR,Hogares,0,0,0,0,42,0,42,1,0,0,1
2016-10-25,ANTIOQUIA,NORTE,BARCOPGIR,Pymes,0,1,0,0,1,0,1,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,BARCOPGIR,Hogares,1,0,0,0,3,3,4,3,0,0,6
2016-10-25,ANTIOQUIA,NORTE,BARCOPGIR,Pymes,0,0,1,0,1,0,,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,BELLO_1,Pymes,0,0,2,0,1,0,1,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,BELLO_1,Hogares,0,0,0,0,11,0,8,0,1,0,0
2016-10-25,ANTIOQUIA,NORTE,BELLO_2,Pymes,0,0,1,0,1,0,0,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,BELLO_2,Hogares,0,0,0,0,8,0,11,0,1,0,0
2016-10-25,ANTIOQUIA,NORTE,BELLO_2,Pymes,0,1,0,0,1,0,,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,BELLO_3,Hogares,0,0,0,0,19,0,27,0,1,0,0
2016-10-25,ANTIOQUIA,NORTE,BERLIN,Hogares,1,0,0,0,0,0,4,3,0,0,3
2016-10-25,ANTIOQUIA,NORTE,BERLIN,Pymes,0,0,2,0,1,0,1,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,BERLIN,Hogares,0,0,0,0,23,0,73,11,4,0,11
2016-10-25,ANTIOQUIA,NORTE,BOSQUE_1,Pymes,0,0,4,0,2,0,2,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,BOSQUE_1,Hogares,0,0,0,0,18,0,57,0,1,0,0
2016-10-25,ANTIOQUIA,NORTE,BOSQUE_1,Hogares,1,0,0,0,2,2,4,3,0,0,5
2016-10-25,ANTIOQUIA,NORTE,BOSQUE_2,Hogares,0,0,0,0,11,0,25,0,1,0,0
2016-10-25,ANTIOQUIA,NORTE,BOSQUE_2,Hogares,1,0,0,0,2,1,3,3,0,0,4
2016-10-25,ANTIOQUIA,NORTE,CARIBE,Pymes,0,1,0,0,1,0,1,1,0,0,1
2016-10-25,ANTIOQUIA,NORTE,CARIBE,Hogares,0,0,0,0,17,0,22,0,2,0,0
2016-10-25,ANTIOQUIA,NORTE,CARIBE,Pymes,0,0,2,0,1,0,1,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,CASTILLA,Hogares,0,0,0,0,18,0,29,0,1,0,0
2016-10-25,ANTIOQUIA,NORTE,FLORENCIA,Hogares,2,0,0,0,0,0,9,7,0,0,7
2016-10-25,ANTIOQUIA,NORTE,FLORENCIA,Pymes,0,0,2,0,1,0,1,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,FLORENCIA,Hogares,0,0,0,0,53,0,51,0,3,0,0
2016-10-25,ANTIOQUIA,NORTE,IGUANA,Hogares,0,0,0,0,22,0,28,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,IGUANA,Pymes,0,0,4,0,2,0,2,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,IGUSANCRI,Hogares,0,0,0,0,34,10,43,0,3,0,10
2016-10-25,ANTIOQUIA,NORTE,NIQUIA,Pymes,0,0,1,0,1,0,0,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,NIQUIA,Corporativos,0,1,0,0,1,0,,0,0,0,0
2016-10-25,ANTIOQUIA,NORTE,NIQUIA,Hogares,0,0,0,0,43,0,72,-1,3,0,-1
2016-10-25,ANTIOQUIA,NORTE,NIQUIA,Hogares,3,0,0,0,20,19,5,3,0,0,22
2016-10-25,ANTIOQUIA,NORTE,NIQUIA,Pymes,0,1,0,0,1,0,1,1,0,0,1
2016-10-25,ANTIOQUIA,NORTE,NOR,Hogares,0,0,0,0,7,0,6,0,1,1,1
