PEDIDO_ID,USUARIO,CONCEPTO_ANTERIOR,ESTADO,MOTIVO_MALO,FECHA_FIN,ANS
129569933,RZAPATV,PETEC,MALO,"PENDIENTE ACCESO","2018-05-07 10:57:47",02:12:14
129613325,RZAPATV,PETEC,MALO,"PENDIENTE ACCESO","2018-05-07 10:14:56",03:00:09
129635458,RZAPATV,PETEC,MALO,"PENDIENTE ACCESO","2018-05-07 09:20:15",03:21:33
129635458,RZAPATV,PETEC,MALO,"PENDIENTE ACCESO","2018-05-07 09:20:11",03:21:33
129621231,WTOROVEL,PUMED,MALO,"PEDIDO NO SE DEJA GESTIONAR","2018-05-07 06:59:42",32:29:12
129621022,WTOROVEL,PUMED,MALO,"PEDIDO NO SE DEJA GESTIONAR","2018-05-07 06:58:21",38:46:48
129624775,WTOROVEL,PETEC,MALO,"PEDIDO NO SE DEJA GESTIONAR","2018-05-07 06:55:42",24:26:55
129624702,WTOROVEL,PUMED,MALO,"PEDIDO NO SE DEJA GESTIONAR","2018-05-07 06:54:59",24:24:50
129621132,WTOROVEL,PETEC,MALO,"PEDIDO NO SE DEJA GESTIONAR","2018-05-07 06:54:00",42:11:55
129610157,WTOROVEL,PETEC,MALO,"PEDIDO NO SE DEJA GESTIONAR","2018-05-07 06:53:36",70:41:55
129610157,WTOROVEL,PETEC,MALO,"PEDIDO NO SE DEJA GESTIONAR","2018-05-05 21:47:54",70:41:55
129614033,RZAPATV,PETEC,MALO,"PENDIENTE ACCESO","2018-05-05 10:15:15",50:32:22
129601991,DCHALARC,PETEC,MALO,"PENDIENTE ACCESO","2018-05-04 15:54:17",69:12:27
129593876,DCHALARC,PETEC,MALO,"PENDIENTE ACCESO","2018-05-03 17:07:34",92:02:49
129183870,DCHALARC,PETEC,MALO,"PENDIENTE B2B","2018-05-03 15:36:30",573:21:58
129598946,RZAPATV,PETEC,MALO,"PENDIENTE ACCESO","2018-05-03 08:59:02",99:50:34
129523818,RZAPATV,PETEC,MALO,"PENDIENTE ACCESO","2018-05-02 09:47:20",292:18:48
129528296,RZAPATV,PETEC,MALO,"PENDIENTE ACCESO","2018-04-27 10:38:51",241:59:48
129533424,RZAPATV,PETEC,MALO,"PENDIENTE ACCESO","2018-04-27 06:29:09",259:39:35
129523818,RZAPATV,PETEC,MALO,"PENDIENTE ACCESO","2018-04-25 10:20:17",292:18:48
129523732,RZAPATV,PETEC,MALO,"PENDIENTE ACCESO","2018-04-25 07:42:37",293:16:48
129183870,DCHALARC,PETEC,MALO,"PENDIENTE ACCESO","2018-04-13 15:28:29",573:21:58
